SHIP_ID,LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,WIDTH,L_FORE,W_LEFT,ROT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME
3350240,11.479275,72.73542,158,134,135,525,AEFJR>INKRI,AG,147,KEITH,7,23,135,6,1,12234,4,,,
TWpJMk5EWXdNakkyTkRZd01qSTJOQT09LUtTTlBrU250bTVrSmNackF4ZkNDOUE9PQ==,9.9783335,74.26667,140,132,,9,,,,[SAT-AIS],7,,,,,,,7,Cargo Vessel,Underway using Engine
5821159,20.838751,72.53965,53,10,8,1,IN HZR,LR,119,BAY SPIRIT,8,21,97,16,0,11767,88,,,
7920434,17.207106,70.803185,80,326,,708,PKKAR,PA,140,NEWCHALLENGER,7,20,100,9,,11750,11,,,
655992,18.275524,72.970642,0,256,150,162,DIGHI PORT,IN,157,SAGAR BHUSHAN,3,24,121,19,0,9113,36,,,
TmpreE1UTTVOamt4TVRNNU5qa3hNUT09LWRiN05SYTRDYTJ4L0NRK0x4d2VCMVE9PQ==,18.275,72.970001,0,256,,21,,,,[SAT-AIS],3,,,,,,,3,Tugs & Special Craft,Moored
992760,20.850328,71.571999,0,358,49,7,"IN, PAV",SG,119,EPIC SENTOSA,8,21,98,17,-2,9052,195,,,
194690,17.85708,71.186989,128,298,302,802,INRNR>QAUMS,SG,115,LEONORA KOSAN,8,18,90,10,-3,8545,195,,,
6503331,18.841955,72.841583,1,67,323,4,DHARAMTAR,IN,122,JSW DEVGAD,7,20,111,15,-2,8081,9,,,
6351328,18.712997,73.02388,1,78,148,3,DHRAMTAR,IN,122,JSW ROHETGAD,7,20,107,4,0,8056,9,,,
6441763,17.975813,72.901634,93,156,156,55,JAIGARH,IN,122,JSW FATEHGAD,7,20,107,4,-1,8053,9,,,
6328418,18.514511,72.729813,79,355,,12,DHARAMTAR,IN,121,JSW SURYAGAD,7,20,107,4,,8043,9,,,
T1RJM01qVXpPVEkzTWpVek9USTNNZz09LVd1M2hob1NxQk1KNnhPZk00UVlGVXc9PQ==,18.526342,72.729889,79,0,,8,,,,[SAT-AIS],7,,,,,,,7,Cargo Vessel,Underway using Engine
6645373,18.179808,72.790756,73,339,326,15,DHARAMTAL,IN,122,JSW MALHARGAD,7,20,110,9,,8002,9,,,
6017061,18.295521,72.741402,106,170,173,8,JAIGARH,IN,122,JSW ARJUNGAD,7,20,107,15,0,8000,9,,,
8079101,18.755646,72.651253,0,80,0,6,MUMBAIBFL,IN,91,AWB URJA,6,31,0,0,,7872,185,,,
5807602,20.172098,72.499275,1,75,108,9,TAPTI FIELD,IN,111,LTB300,3,31,70,5,0,7827,47,,,
